#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:06.64864739Z,3312.09,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:08.648316349Z,4863.91,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:10.648857799Z,4873.49,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:12.648395932Z,4882.89,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:14.64895452Z,4892.84,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:16.648511343Z,4900.74,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:18.648928626Z,4903.29,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:20.648311063Z,4907.06,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:22.648829259Z,4909.72,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:24.648165854Z,4912.52,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:26.648722551Z,4915.57,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:28.648397187Z,4918.15,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:30.648492069Z,4922.53,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:32.649014735Z,4924.33,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:34.648526237Z,4927.27,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:36.649175188Z,4930.79,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
,,0,2024-01-25T10:55:52.861834006Z,2024-02-24T10:55:52.861834006Z,2024-02-23T21:36:38.648550456Z,4933.45,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_ALIGNED (SRR7961103_GSM3415667_MShef11_low_oxygen) (38),858494,38
