#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:01.296264782Z,573.3806,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:03.296613008Z,536.0336,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:05.296029034Z,548.7841,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:07.296524995Z,545.2533,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:09.296144408Z,545.736,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:11.296878096Z,683.9646,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:13.29624364Z,542.5002,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:15.296633747Z,535.5875,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:17.296442785Z,541.3346,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:19.304050026Z,538.3315,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:21.296363221Z,693.3001,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:23.296290952Z,533.5546,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:25.296788522Z,540.7855,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:27.296064123Z,542.9141,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.71803293Z,2024-02-24T10:55:59.71803293Z,2024-02-23T23:43:29.296953215Z,539.0161,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
