#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:01.296264782Z,2467.71,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:03.296613008Z,4861.96,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:05.296029034Z,4870.68,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:07.296524995Z,4880.58,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:09.296144408Z,4889.77,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:11.296878096Z,4890.74,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:13.29624364Z,4900.07,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:15.296633747Z,4909.02,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:17.296442785Z,4917.83,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
,,0,2024-01-25T10:55:59.70352092Z,2024-02-24T10:55:59.70352092Z,2024-02-23T23:43:19.304050026Z,4926.89,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),NFCORE_METHYLSEQ:METHYLSEQ:BISMARK:SAMTOOLS_SORT_DEDUPLICATED (SRR7961164_GSM3415728_MShef4) (50),1290042,50
