#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:16.938704613Z,16.4021,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:18.93927901Z,206.0669,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:20.939014529Z,1216.8594,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:22.938301525Z,1186.8643,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:24.938931674Z,1242.7926,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:26.938292503Z,1216.5985,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:28.938998586Z,1162.7677,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:30.938583484Z,1168.2539,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:32.938913086Z,1152.9388,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:34.938735683Z,1149.7518,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:36.939234702Z,1163.7379,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:38.938735639Z,1213.0302,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:40.939051043Z,1170.2437,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:42.938551261Z,1160.1069,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:44.939228459Z,1198.7766,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:46.938717938Z,1188.825,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:48.939176219Z,1202.5798,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:50.938658619Z,1169.8514,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:52.938153121Z,1161.6613,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:54.938686276Z,1202.3353,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:56.939029026Z,1159.8483,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:06:58.938610401Z,1187.3055,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:07:00.93825182Z,1179.9741,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
,,0,2024-01-25T10:55:57.936263287Z,2024-02-24T10:55:57.936263287Z,2024-02-23T04:07:02.938764557Z,1169.2654,docker_cpu_usage_pct,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961104_GSM3415668_MShef11_low_oxygen) (6),1938778,6
