#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:40:58.895845329Z,17.07,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:00.895385989Z,81.74,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:02.895993232Z,361.87,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:04.89585973Z,518.85,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:06.895393627Z,669.74,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:08.896076381Z,835.97,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:10.895697739Z,985.38,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:12.895138932Z,1142.62,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:14.895836514Z,1299.41,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:16.895496132Z,1456.24,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:18.896219353Z,1601.8,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:20.896515779Z,1743.33,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:22.895549676Z,1888.4,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:24.895532211Z,2061.08,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:26.896193188Z,2213.13,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:28.895960215Z,2370.98,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:30.895639869Z,2533.94,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:32.895325753Z,2668.11,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:34.895940055Z,2824.78,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:36.895627387Z,2970.91,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:38.895294088Z,3123.7,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:40.895792804Z,3291.91,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:42.89566045Z,3430.08,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
,,0,2024-01-25T10:55:58.068005474Z,2024-02-24T10:55:58.068005474Z,2024-02-23T02:41:44.895245217Z,3598.03,docker_used_memory_mb,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961161_GSM3415725_MShef4) (10),1695304,10
