#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:22:44.369361976Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/.command.trace,1591834,14
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:22:44.393172121Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/SRR7961164_GSM3415728_MShef4_1.fastq.gz,1591834,14
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:22:44.397349235Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/SRR7961164_GSM3415728_MShef4_2.fastq.gz,1591834,14
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:22:48.025990747Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/SRR7961164_GSM3415728_MShef4_1.fastq.gz_trimming_report.txt,1591834,14
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:22:48.030388769Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/SRR7961164_GSM3415728_MShef4_1_trimmed.fq.gz,1591834,14
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:24:03.842445009Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/SRR7961164_GSM3415728_MShef4_2.fastq.gz_trimming_report.txt,1591834,14
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:24:03.847065317Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/SRR7961164_GSM3415728_MShef4_2_trimmed.fq.gz,1591834,14
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:25:21.197367218Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/SRR7961164_GSM3415728_MShef4_2_val_2.fq.gz,1591834,14
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:25:21.201445698Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/SRR7961164_GSM3415728_MShef4_1_val_1.fq.gz,1591834,14
,,0,2024-01-25T10:55:58.232796053Z,2024-02-24T10:55:58.232796053Z,2024-02-23T02:28:34.371354352Z,CREATE,file_event,NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),NFCORE_METHYLSEQ:METHYLSEQ:TRIMGALORE (SRR7961164_GSM3415728_MShef4) (14),/home/jfechner/test-nfcore-workflows/profile_test_full/methylseq/work/f9/39fd974d08e2c730d8fb25e2a24769/SRR7961164_GSM3415728_MShef4_1_val_1_fastqc.zip,1591834,14
