#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:14.64454344Z,52.54,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:16.641285808Z,296.5,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:18.641301531Z,1401.86,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:20.641506141Z,2598.67,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:22.641158662Z,3691.89,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:24.641215537Z,6543.2,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:26.641348683Z,9095.26,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:28.64116198Z,9105.13,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:30.641301697Z,9109.04,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:32.640774673Z,9110.7,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:34.640894549Z,9111.23,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:36.641034576Z,9112.82,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:38.640784181Z,9113.57,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:40.640801095Z,9114.77,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:42.640706194Z,9115.2,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:44.641070718Z,9116.44,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:46.64071345Z,9116.75,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:48.640941069Z,9116.93,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:50.640932642Z,9117.55,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:52.640693727Z,9118.87,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:54.641839296Z,9119.19,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:56.641662263Z,9120.41,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:44:58.64147994Z,9120.15,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:45:00.641431751Z,9121.13,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:45:02.641663721Z,9121.8,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:45:04.641381605Z,9122.52,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:45:06.641650496Z,9123.25,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:45:08.64169284Z,9123.49,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:45:10.641575219Z,9124.33,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:45:12.641658234Z,9124.26,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:45:14.640992476Z,9126.65,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
,,0,2024-01-25T10:56:53.457593399Z,2024-02-24T10:56:53.457593399Z,2024-02-24T05:45:16.641325559Z,81.24,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (2) (17),2923542,17
