#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:06.948213204Z,411.1475,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:08.948199415Z,1190.9373,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:10.947849497Z,1194.3367,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:12.947826878Z,1196.5936,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:14.947994846Z,1195.3369,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:16.947715399Z,1196.6394,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:18.947874796Z,1198.1381,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:20.947900789Z,1197.7807,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:22.948214561Z,1198.2354,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:24.947943555Z,1188.1587,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:26.948154194Z,1201.6808,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:28.947931669Z,1196.6364,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:30.947932301Z,1196.338,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:32.948030536Z,1197.6684,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
,,0,2024-01-25T10:56:53.532251324Z,2024-02-24T10:56:53.532251324Z,2024-02-24T05:42:34.948298857Z,1184.157,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),NFCORE_MHCQUANT:MHCQUANT:OPENMS_COMETADAPTER (3) (15),2915427,15
