#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:25.992859742Z,356.8109,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:27.992586646Z,106.6698,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:29.992518357Z,107.859,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:31.993704188Z,107.9428,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:33.993294267Z,183.039,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:35.993254879Z,195.1123,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:37.993300934Z,192.21,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:39.993319897Z,189.1252,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:41.993123184Z,201.8162,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:43.993093356Z,100.9669,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
,,0,2024-01-25T10:56:51.652119775Z,2024-02-24T10:56:51.652119775Z,2024-02-24T05:47:45.992919564Z,100.0597,docker_cpu_usage_pct,NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),NFCORE_MHCQUANT:MHCQUANT:OPENMS_PERCOLATORADAPTER (PBMC007_B) (30),2938564,30
