#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:38:58.20253703Z,61.05,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:00.200551509Z,61.97,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:02.200321723Z,78.27,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:04.200770528Z,90.45,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:06.200195352Z,97.14,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:08.200535514Z,102.44,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:10.200625808Z,105.18,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:12.200888938Z,113.74,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:14.201069214Z,122.61,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:16.200418155Z,126.54,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:18.200012014Z,131.73,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:20.200392618Z,135.05,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:22.200500492Z,145.09,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:24.200741251Z,158.63,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:27.201431525Z,163.79,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:29.20057684Z,155.94,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:31.200751397Z,161.77,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:33.201198522Z,173.73,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:35.200223073Z,189.68,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:37.200258945Z,183.91,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:39.200331379Z,195.57,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:41.200356422Z,202.39,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:43.200551669Z,199.62,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:45.200813609Z,218.83,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:47.200283454Z,222.88,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:49.200663897Z,218.75,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:51.200663209Z,259.47,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:53.200981831Z,235.92,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:55.200170756Z,240.69,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:57.199797006Z,273.59,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:39:59.200303364Z,256.1,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:40:01.200316036Z,263.39,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:40:03.200429861Z,304.29,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:40:05.200529996Z,311.89,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:40:07.201022763Z,292.36,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:40:09.200973143Z,320.2,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:40:11.200835771Z,315.3,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
,,0,2024-01-25T10:56:54.250512974Z,2024-02-24T10:56:54.250512974Z,2024-02-24T05:40:13.200797231Z,291.32,docker_used_memory_mb,NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),NFCORE_MHCQUANT:MHCQUANT:THERMORAWFILEPARSER (1) (6),2888215,6
