#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:00.993406036Z,60.15,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:02.994068564Z,112.64,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:04.993547758Z,156.62,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:06.994320312Z,198.18,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:08.993902911Z,244.3,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:10.993313932Z,289.93,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:12.993939619Z,325.5,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:14.993452065Z,379,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:16.994097065Z,449.24,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:18.993757679Z,486.17,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:20.994403791Z,542.65,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:22.993787157Z,576.93,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:24.994211605Z,617.05,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:26.993560552Z,666.43,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:28.994154618Z,717.54,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:30.993547139Z,752.48,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:32.993973202Z,795.11,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:34.993374666Z,834.33,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:36.993960666Z,875.93,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:38.99328828Z,918.08,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:40.99377083Z,957.04,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:42.994193444Z,993.08,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:44.99360284Z,1046.37,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:46.994188622Z,1096.71,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:48.99355191Z,1140.77,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:50.993326378Z,1189.23,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:52.993842206Z,1222.39,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
,,0,2024-01-26T11:22:47.145985015Z,2024-02-25T11:22:47.145985015Z,2024-02-25T03:54:54.993500843Z,1262.68,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGBED:BEDTOOLS_BAMBED (4) (61),2022261,61
