#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:24.234690105Z,1920.02,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:26.234474932Z,1920.63,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:28.235258039Z,1922.31,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:30.234525361Z,1922.89,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:32.23526108Z,1922.93,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:34.235019422Z,2194.84,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:36.2344334Z,2455.39,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:38.235157758Z,2511.5,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:40.234736984Z,2510.2,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:42.23526186Z,2510.09,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
,,0,2024-01-26T11:22:47.986721458Z,2024-02-25T11:22:47.986721458Z,2024-02-25T03:55:44.234704625Z,2510.55,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (A549_R2) (60),2029167,60
