#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:39.77189491Z,1918.89,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:41.771101341Z,1919.05,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:43.771646554Z,1920.26,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:45.771280456Z,1920.65,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:47.771967801Z,2150.43,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:49.77164767Z,2414.08,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:51.772174047Z,2668.21,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:53.771770351Z,2636.62,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:55.772209941Z,2636.05,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:57.772181284Z,2753.69,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:01:59.771951989Z,2989.79,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:01.7716476Z,2741.27,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:03.772069734Z,2742.39,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:05.771473382Z,2863.12,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:07.772351568Z,1667.88,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:09.771785614Z,3055.8,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:11.77157969Z,3290.34,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:13.772300996Z,3215.32,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:15.771916164Z,3214.43,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:17.771578181Z,3262.35,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:19.77222342Z,3523.32,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:21.771764171Z,3468.44,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:23.771403393Z,3469.34,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:25.771775558Z,3474.33,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:27.771442628Z,3747.99,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:29.771760259Z,3734.69,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:31.771415766Z,3734.58,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:33.77192917Z,3853.22,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:35.7711493Z,4105.81,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:37.771741934Z,4015.26,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
,,0,2024-01-26T11:22:48.092003647Z,2024-02-25T11:22:48.092003647Z,2024-02-25T04:02:39.771321823Z,4191.56,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:BEDTOOLS_GENOMECOV (K562_R1) (84),2069203,84
