#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:22.256691439Z,108.4543,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:24.254891879Z,107.5867,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:26.254527367Z,107.1054,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:28.255348564Z,13.6359,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:30.254925562Z,107.9647,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:32.254675926Z,99.5972,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:34.255010611Z,592.929,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:36.254703986Z,1096.6624,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:38.25494073Z,99.8402,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
,,0,2024-01-26T11:22:41.866412113Z,2024-02-25T11:22:41.866412113Z,2024-02-25T04:48:40.254715589Z,99.7048,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),NFCORE_NANOSEQ:NANOSEQ:DIFFERENTIAL_DESEQ2_DEXSEQ:DEXSEQ (1) (89),2144830,89
