#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:35.12420663Z,2023.27,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:37.123906679Z,4624.14,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:39.123814278Z,7321.41,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:41.124238594Z,10053.95,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:43.1239607Z,12967.05,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:45.123870524Z,13429.32,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:47.124391239Z,12791.12,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:49.124121141Z,13032.17,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:51.124013789Z,13291.59,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:53.123690813Z,13552.67,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:55.124268398Z,13947.95,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:57.124134341Z,14896.63,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:45:59.123529741Z,15241.84,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:46:01.124521844Z,15979.02,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:46:03.124101805Z,16534.11,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:46:05.123809571Z,16714.3,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:46:07.123473507Z,16937.15,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:46:09.124202249Z,16767.07,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:46:11.124097226Z,17022.1,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:46:13.123850411Z,17357.75,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
,,0,2024-01-26T11:22:44.326943158Z,2024-02-25T11:22:44.326943158Z,2024-02-25T02:46:15.12368969Z,17359.82,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R2) (23),1780026,23
