#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:21.782058161Z,105.4496,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:23.78127603Z,105.0212,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:25.781759931Z,105.1747,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:27.781366733Z,105.394,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:29.781909186Z,104.8672,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:31.781120577Z,99.4295,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:33.781522625Z,100.2359,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:35.781015875Z,104.5799,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:37.781431205Z,100.1505,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
,,0,2024-01-26T11:22:44.438707294Z,2024-02-25T11:22:44.438707294Z,2024-02-25T02:27:39.781938348Z,99.5962,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),NFCORE_NANOSEQ:NANOSEQ:ALIGN_MINIMAP2:MINIMAP2_ALIGN (A549_R3) (24),1718671,24
