#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:18:50.096743795Z,211.6642,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:18:52.097294115Z,112.4083,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:18:54.096620487Z,105.1046,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:18:56.096844899Z,106.1756,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:18:58.097133453Z,106.4517,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:19:00.096648343Z,106.8133,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:19:02.096847866Z,101.0353,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:19:04.096357917Z,101.2018,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:19:06.096853451Z,100.5039,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
,,0,2024-01-26T11:22:43.463103643Z,2024-02-25T11:22:43.463103643Z,2024-02-25T02:19:08.097339555Z,101.5515,docker_cpu_usage_pct,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (A549_R1) (2),1622552,2
