#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:33.748619317Z,210.59,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:35.749264114Z,255.49,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:37.748933889Z,392.16,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:39.748946966Z,497.12,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:41.748659253Z,635.33,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:43.749424955Z,808.39,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:45.749169175Z,1049.05,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:47.748745529Z,1089.18,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:49.748444088Z,1089.46,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:51.749190692Z,1090.46,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:53.749041456Z,1091.87,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:55.748673534Z,1091.47,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:57.748543991Z,1092.6,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:22:59.749156481Z,1094.36,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:23:01.748721458Z,1095.99,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:23:04.748799713Z,1099.3,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
,,0,2024-01-26T11:22:43.60649506Z,2024-02-25T11:22:43.60649506Z,2024-02-25T02:23:06.749399635Z,1099.88,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),NFCORE_NANOSEQ:NANOSEQ:QCFASTQ_NANOPLOT_FASTQC:FASTQC (K562_R1) (13),1676626,13
