#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:47:52.903125676Z,2268.16,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:47:54.902663741Z,4727.5,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:47:56.903068849Z,4745.78,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:47:58.902818145Z,4763.55,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:00.902244563Z,4780.36,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:05.9029594Z,4810.25,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:06.902537317Z,4815.66,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:08.903041339Z,4821.88,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:10.902310372Z,4826.91,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:12.902804288Z,4832.56,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:14.902489799Z,4837.94,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:17.902872814Z,4844.55,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:19.902446372Z,4848.45,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:21.902891142Z,4853.55,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:23.902415673Z,4859.21,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:25.90295184Z,4864.32,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:27.902514717Z,4869.61,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
,,0,2024-01-26T11:22:47.495498684Z,2024-02-25T11:22:47.495498684Z,2024-02-25T03:48:29.903285868Z,4873.46,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1) (34),1970439,34
