#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:17.668565983Z,CREATE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/.command.trace,1987080,37
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:21.375093373Z,CREATE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/K562_R3.sorted.0003.bam,1987080,37
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:21.383016732Z,CREATE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/K562_R3.sorted.0004.bam,1987080,37
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:21.38795136Z,CREATE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/K562_R3.sorted.0002.bam,1987080,37
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:21.390587809Z,CREATE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/K562_R3.sorted.0000.bam,1987080,37
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:21.392956349Z,CREATE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/K562_R3.sorted.0001.bam,1987080,37
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:21.396549661Z,CREATE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/K562_R3.sorted.0005.bam,1987080,37
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:32.488678271Z,CREATE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/K562_R3.sorted.bam,1987080,37
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:56.120346812Z,DELETE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/K562_R3.sorted.0000.bam,1987080,37
,,0,2024-01-26T11:22:47.789457055Z,2024-02-25T11:22:47.789457055Z,2024-02-25T03:49:56.168226065Z,DELETE,file_event,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R3) (37),/home/jfechner/test-nfcore-workflows/profile_test_full/nanoseq/work/76/66777bb232d667052995751eaa2495/K562_R3.sorted.0001.bam,1987080,37
