#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:46:54.65214989Z,61.33,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:46:56.651978896Z,75.04,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:46:58.651340247Z,88.07,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:47:00.652030175Z,99.11,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:47:02.651521282Z,109.62,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:47:04.652211721Z,120.32,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:47:06.65166847Z,135.45,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:47:08.651209012Z,148.6,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:47:10.652039219Z,157.44,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:47:12.651422919Z,166.23,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
,,0,2024-01-26T11:22:42.064418109Z,2024-02-25T11:22:42.064418109Z,2024-02-25T03:47:14.496629748Z,176.41,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R2) (31),1965222,31
