#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:20.810636889Z,12.69,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:22.811241775Z,15.34,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:25.810766939Z,17.19,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:27.810420119Z,18.25,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:29.810897184Z,17.8,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:31.810292911Z,17.7,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:33.811246029Z,17.95,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:35.810936902Z,18.34,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:37.810567621Z,33.98,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
,,0,2024-01-26T11:22:44.828659181Z,2024-02-25T11:22:44.828659181Z,2024-02-25T04:00:39.811062038Z,18.48,docker_used_memory_mb,NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),NFCORE_NANOSEQ:NANOSEQ:BEDTOOLS_UCSC_BIGWIG:UCSC_BEDGRAPHTOBIGWIG (A549_R1) (75),2056570,75
