#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:44:33.301132543Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/trend,1374335,4087
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:44:33.335593717Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/prov,1374335,4087
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:44:33.345657624Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/sedkdPBLZ,1374335,4087
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:44:33.353725864Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/trend/datacube-definition.prj.lock,1374335,4087
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:44:33.357337185Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/trend/datacube-definition.prj,1374335,4087
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:44:33.363267874Z,DELETE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/trend/datacube-definition.prj.lock,1374335,4087
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:45:14.120672712Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/trend/X0104_Y0103.lock,1374335,4087
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:45:14.123449405Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/trend/X0104_Y0103,1374335,4087
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:45:14.126030391Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/trend/X0104_Y0103/1986-2006_001-365_HL_TSA_LNDLG_SMA_TSI.tif,1374335,4087
,,0,2024-02-15T15:37:27.301990899Z,2024-03-16T15:37:27.301990899Z,2024-03-16T04:45:14.128007218Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0104_Y0103) (4087),/home/jfechner/workflows/rangeland/nextflow-run2/work/0a/f0dd9eba28dff60b00d690eab6b78e/trend/X0104_Y0103/1986-2006_001-365_HL_TSA_LNDLG_SMA_TSI.tif.lock,1374335,4087
