#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:20.601522184Z,82.0224,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:22.60216396Z,83.6285,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:24.601684406Z,119.3326,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:26.601457873Z,270.9062,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:28.602130314Z,290.1491,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:30.601815399Z,198.7519,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:32.60152235Z,200.6567,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:34.601844534Z,205.2259,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:36.601951616Z,199.7848,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
,,0,2024-02-15T15:37:27.482792699Z,2024-03-16T15:37:27.482792699Z,2024-03-16T04:55:38.601568708Z,198.0248,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0105_Y0103) (4111),1488162,4111
