#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:03.915676851Z,143.09,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:05.915209921Z,389.06,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:07.91591211Z,649.3,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:09.91545413Z,916.37,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:11.916184409Z,1519.93,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:13.915964726Z,1521.43,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:15.915536747Z,1736.59,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:17.916015747Z,2086.27,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:19.915578015Z,2518.6,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
,,0,2024-02-15T15:37:27.671392117Z,2024-03-16T15:37:27.671392117Z,2024-03-16T04:52:21.916166359Z,2624.13,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_HIGHER_LEVEL (X0106_Y0102) (4099),1452061,4099
