#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:22.424726151Z,104.8551,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:24.425495085Z,105.35,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:26.425857825Z,105.4296,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:28.425545363Z,105.4521,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:30.425733636Z,204.4332,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:32.42562379Z,180.4764,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:34.425757292Z,199.3018,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:36.42549271Z,205.8536,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:38.425890679Z,200.3087,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
,,0,2024-02-14T11:32:51.717874936Z,2024-03-15T11:32:51.717874936Z,2024-03-15T00:03:40.424980575Z,200.2623,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:FORCE_PREPROCESS (LT05_L1TP_181035_20030710_20200905_02_T1) (3587),1572280,3587
