#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:04:47.080147633Z,119.59,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:04:49.078299407Z,146.95,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:04:51.079164963Z,179.32,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:04:53.07867142Z,209.91,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:04:55.078158192Z,236.17,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:04:57.078619531Z,267.17,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:04:59.078323889Z,295.46,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:05:01.079008574Z,324.86,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:05:04.078841737Z,361.23,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:05:06.078540363Z,394.37,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:05:08.078983917Z,436.76,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:05:10.078427734Z,66.8,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:05:12.079113975Z,28.58,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:05:14.078472559Z,43.05,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
,,0,2024-02-15T15:37:58.613279468Z,2024-03-16T15:37:58.613279468Z,2024-03-16T05:05:16.079101148Z,76.75,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0103_Y0102) (4129),1579772,4129
