#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:04:42.398792447Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/.command.trace,1579926,4157
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:04:42.649926242Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/X0105_Y0105_1986-2006_001-365_HL_TSA_LNDLG_SMA_TSI.tif.ovr,1579926,4157
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:04:56.665695537Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/X0105_Y0105_1986-2006_001-365_HL_TSA_LNDLG_SMA_VBL-CAO.tif.ovr,1579926,4157
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:04:57.389898387Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/X0105_Y0105_1986-2006_001-365_HL_TSA_LNDLG_SMA_VBL-POL.tif.ovr,1579926,4157
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:04:57.891595119Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/X0105_Y0105_1986-2006_001-365_HL_TSA_LNDLG_SMA_VBL-TRO.tif.ovr,1579926,4157
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:04:58.259302622Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/X0105_Y0105_1986-2006_001-365_HL_TSA_LNDLG_SMA_VPS-CAO.tif.ovr,1579926,4157
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:04:59.010598655Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/X0105_Y0105_1986-2006_001-365_HL_TSA_LNDLG_SMA_VPS-POL.tif.ovr,1579926,4157
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:04:59.491103289Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/X0105_Y0105_1986-2006_001-365_HL_TSA_LNDLG_SMA_VPS-TRO.tif.ovr,1579926,4157
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:04:59.828720414Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/X0105_Y0105_1986-2006_001-365_HL_TSA_LNDLG_SMA_VSA-CAO.tif.ovr,1579926,4157
,,0,2024-02-15T15:37:59.081615706Z,2024-03-16T15:37:59.081615706Z,2024-03-16T05:05:00.562048714Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0105_Y0105) (4157),/home/jfechner/workflows/rangeland/nextflow-run2/work/48/3255e46ffd34239ca56349a9ba5ffd/X0105_Y0105_1986-2006_001-365_HL_TSA_LNDLG_SMA_VSA-POL.tif.ovr,1579926,4157
