#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:04:45.116793336Z,109.4717,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:04:47.115699549Z,111.8103,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:04:50.115671306Z,112.5277,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:04:52.118095575Z,114.3473,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:04:54.115624071Z,113.4692,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:04:56.115619982Z,100.8669,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:04:58.115026829Z,100.3944,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:00.115578007Z,114.0754,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:03.116028627Z,97.4636,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:05.115593825Z,102.3396,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:07.115135828Z,100.5672,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:09.115841833Z,100.1673,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:11.115189109Z,100.3714,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:13.115639906Z,99.9989,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:15.11524959Z,115.4435,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:17.115597483Z,99.7477,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
,,0,2024-02-15T15:37:59.338482331Z,2024-03-16T15:37:59.338482331Z,2024-03-16T05:05:20.115319189Z,115.684,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),NFCORE_RANGELAND:RANGELAND:HIGHER_LEVEL:FORCE_PYRAMID (X0107_Y0103) (4162),1580797,4162
