#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:11.571239489Z,120.03,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:13.570868801Z,162.68,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:15.57043562Z,352,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:17.571033103Z,605.02,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:19.570627582Z,699.11,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:21.571291536Z,126.4,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:24.570826997Z,153.91,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:26.570745196Z,309.25,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:28.570226848Z,630.45,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:30.570807218Z,780.55,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:32.570472596Z,128.11,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:34.570997882Z,168.78,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:36.570613298Z,356.93,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:38.570416419Z,579.14,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:40.570904973Z,886.86,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:42.571104476Z,129.46,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:44.570792652Z,170.21,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:46.570291051Z,358.11,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:48.570860286Z,611.06,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:50.570515429Z,100.17,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:53.571074224Z,130.87,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:55.570927823Z,182.62,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:57.570607026Z,388.07,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:18:59.570186385Z,657.93,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:19:01.571017885Z,829.93,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
,,0,2024-02-15T15:37:38.015655119Z,2024-03-16T15:37:38.015655119Z,2024-03-16T04:19:03.57051071Z,131.96,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0103_Y0102) (4002),672889,4002
