#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:06.057116174Z,106.2913,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:08.057778709Z,106.3683,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:10.057348519Z,106.2658,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:13.05811832Z,105.2488,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:15.057941428Z,105.7414,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:17.057418075Z,100.1948,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:19.058084121Z,100.3985,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:21.057601898Z,106.0098,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:23.058031336Z,100.3864,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:25.057865784Z,99.8377,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:27.057382802Z,100.1572,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:29.057906733Z,100.0065,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:31.058379492Z,105.964,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:33.058192259Z,100.0636,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:35.057610004Z,99.1501,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:37.058068513Z,100.3434,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:39.057759956Z,100.7095,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:41.057216422Z,106.2787,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:43.058099484Z,100.4993,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:45.057345763Z,102.2913,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:47.057920606Z,100.5013,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:49.057583968Z,100.6924,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:52.058314157Z,105.9854,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:54.057543426Z,99.7743,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
,,0,2024-02-15T15:37:38.756482986Z,2024-03-16T15:37:38.756482986Z,2024-03-16T03:38:56.05758459Z,107.5098,docker_cpu_usage_pct,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0104_Y0103) (3950),3541399,3950
