#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.744573577Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/9/20000717_LEVEL2_LND05_BOA.tif,751054,4014
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.775932112Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/112,751054,4014
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.779156429Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/112/20051019_LEVEL2_LND05_BOA.tif,751054,4014
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.782178489Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/8,751054,4014
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.785093147Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/8/20000701_LEVEL2_LND05_BOA.tif,751054,4014
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.788066026Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/114,751054,4014
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.790969352Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/114/20051104_LEVEL2_LND05_BOA.tif,751054,4014
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.793809617Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/68,751054,4014
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.796675243Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/68/20040407_LEVEL2_LND05_BOA.tif,751054,4014
,,0,2024-02-15T15:37:42.472395798Z,2024-03-16T15:37:42.472395798Z,2024-03-16T04:20:22.800012673Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_BOA (X0109_Y0101) (4014),/home/jfechner/workflows/rangeland/nextflow-run2/work/83/01c274b83cdd696e051568ceabacfd/input/45,751054,4014
