#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.64934385Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/33,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.683831425Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/33/19870822_LEVEL2_LND05_QAI.tif,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.687255168Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/19,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.690513285Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/19/19870502_LEVEL2_LND05_QAI.tif,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.694016731Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/61,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.696802742Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/61/19880605_LEVEL2_LND05_QAI.tif,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.699208821Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/115,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.701425754Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/115/19900219_LEVEL2_LND05_QAI.tif,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.703796232Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/156,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.705956833Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/156/19910427_LEVEL2_LND05_QAI.tif,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.708468916Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/160,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.712069355Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/160/19910614_LEVEL2_LND05_QAI.tif,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.715768447Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/121,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.720157151Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/121/19900510_LEVEL2_LND05_QAI.tif,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.723926525Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/148,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.727332917Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/148/19901220_LEVEL2_LND05_QAI.tif,3163243,3923
,,0,2024-02-15T15:37:48.61713862Z,2024-03-16T15:37:48.61713862Z,2024-03-16T03:27:03.730977177Z,CREATE,file_event,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0103_Y0102) (3923),/home/jfechner/workflows/rangeland/nextflow-run2/work/16/4ef6a7f638c30981bad92e3ccf6c98/input/178,3163243,3923
