#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:17.805504316Z,119.32,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:19.806365383Z,122.76,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:21.805705499Z,268.68,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:24.805306281Z,84.98,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:26.80600538Z,125.6,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:28.805658174Z,197.37,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:30.806269559Z,81.38,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:32.80588069Z,127.29,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:34.805286904Z,198.44,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:36.806606291Z,46.14,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:38.806291121Z,127.94,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:40.805863418Z,179.55,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:42.805558029Z,24.57,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:44.806242552Z,128.71,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:46.806100456Z,169.34,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:48.805612539Z,345.23,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:50.805716931Z,129.82,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:52.805829742Z,129.88,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
,,0,2024-02-14T11:31:25.993923114Z,2024-03-15T11:31:25.993923114Z,2024-03-15T03:11:54.80647812Z,227.12,docker_used_memory_mb,NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),NFCORE_RANGELAND:RANGELAND:PREPROCESSING:MERGE_QAI (X0104_Y0102) (3994),1557235,3994
