#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:13.368681093Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/.command.trace,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:14.04248287Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/preprocessing_e3531d11cae939d7c476cf6f0204faf21af6cd6e,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:14.046703021Z,DELETE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/preprocessing_e3531d11cae939d7c476cf6f0204faf21af6cd6e/tmpoezioqqf,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:14.050172499Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/preprocessing_e3531d11cae939d7c476cf6f0204faf21af6cd6e/tmpvg5avxua,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:14.053410759Z,DELETE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/preprocessing_e3531d11cae939d7c476cf6f0204faf21af6cd6e/tmpvg5avxua,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:14.223185052Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/preprocessing_e3531d11cae939d7c476cf6f0204faf21af6cd6e/tmp46tstyof,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:14.226948979Z,DELETE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/preprocessing_e3531d11cae939d7c476cf6f0204faf21af6cd6e/tmp46tstyof,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:14.22925413Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/preprocessing_e3531d11cae939d7c476cf6f0204faf21af6cd6e/tmpe_tauh1m,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:14.233164172Z,DELETE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/preprocessing_e3531d11cae939d7c476cf6f0204faf21af6cd6e/tmpe_tauh1m,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:14.662802226Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/pbmc8k,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:37.454055915Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/pbmc8k/barcodes.tsv,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:37.460942529Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/pbmc8k/features.tsv,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:37.475166902Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/pbmc8k/matrix.mtx,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:50.68875005Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/pbmc8k/pbmc8k_matrix.h5ad,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:52.839028327Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/versions.yml,2824765,7
,,0,2024-01-27T15:03:39.897894222Z,2024-02-26T15:03:39.897894222Z,2024-02-25T14:43:53.475811129Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),NFCORE_SCRNASEQ:SCRNASEQ:MTX_CONVERSION:MTX_TO_H5AD (pbmc8k) (7),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/45/04c18defc9f6060949245f918ebf75/.exitcode,2824765,7
