#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.594910859Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/.command.trace,2504442,5
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.616368411Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/pbmc8k.Log.out,2504442,5
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.620269981Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/pbmc8k._STARtmp,2504442,5
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.623772659Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/pbmc8k._STARtmp/BAMsort,2504442,5
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.627451893Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/pbmc8k._STARtmp/tmp.fifo.read1,2504442,5
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.630379303Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/pbmc8k._STARtmp/readsCommand_read1,2504442,5
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.633221961Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/pbmc8k.Log.progress.out,2504442,5
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.635953516Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/pbmc8k.Aligned.sortedByCoord.out.bam,2504442,5
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.638591697Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/pbmc8k._STARpass1,2504442,5
,,0,2024-01-27T15:03:40.447139177Z,2024-02-26T15:03:40.447139177Z,2024-02-25T12:14:32.641236668Z,CREATE,file_event,NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),NFCORE_SCRNASEQ:SCRNASEQ:STARSOLO:STAR_ALIGN (pbmc8k) (5),/home/jfechner/test-nfcore-workflows/profile_test_full/scrnaseq/work/d0/a56e507d5e1956828f62c51501486a/pbmc8k._STARtmp/readFilesIn.info,2504442,5
