#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:39.61097697Z,277.7953,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:41.610866397Z,278.7714,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:43.611168849Z,247.3026,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:45.610871234Z,108.1423,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:47.610420096Z,120.8753,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:49.610968771Z,118.3508,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:51.610518046Z,105.4125,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:53.611072806Z,167.3992,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:55.610296785Z,228.7645,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:57.610899879Z,176.1978,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:06:59.610535465Z,99.9243,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:07:01.609647166Z,102.1652,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:07:03.610685939Z,109.1986,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:07:05.610873998Z,100.4969,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
,,0,2024-01-24T01:52:35.583622615Z,2024-02-23T01:52:35.583622615Z,2024-02-21T23:07:07.610331125Z,151.134,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_02) (1597),3238776,1597
