#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:48:54.252583275Z,479.6,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:48:56.252999398Z,980.4,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:48:58.252339927Z,136.12,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:00.253244137Z,277.22,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:02.25270878Z,304.05,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:04.252324727Z,309.25,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:06.252857265Z,317.44,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:08.252573836Z,360.89,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:10.252892677Z,673.33,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:12.25267901Z,973.11,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:14.253031832Z,316.79,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:16.252584698Z,330.59,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:18.25294602Z,327.91,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:20.252712192Z,328.64,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:22.253093495Z,327.01,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:24.252592709Z,350.7,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:26.252472486Z,355.43,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:28.252995653Z,357.97,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:30.252357983Z,357.35,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:32.253102538Z,357.14,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:34.252752497Z,358.4,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:36.252384545Z,362.86,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:38.252949634Z,359.04,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:40.252545181Z,357.81,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:42.253235345Z,357.55,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:44.252718328Z,358.81,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:46.252342887Z,357.98,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:48.252960907Z,358.52,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:50.252506853Z,358.7,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:52.253038741Z,358.42,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:54.252974779Z,359.06,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:56.252745152Z,358.56,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:49:58.253202548Z,358.71,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
,,0,2024-01-24T01:52:37.439074706Z,2024-02-23T01:52:37.439074706Z,2024-02-21T23:50:00.252674311Z,358.63,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SAMPLE_32) (1691),3734033,1691
