#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:14.146147758Z,1275.0778,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:16.14583834Z,1266.9584,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:18.145488738Z,1267.1735,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:20.146153862Z,1267.5906,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:22.145883712Z,1271.5698,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:24.145446713Z,1262.4045,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:26.146192985Z,1258.1386,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:28.145883131Z,1258.3347,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:30.145637745Z,1259.3829,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
,,0,2024-01-24T01:51:35.760677775Z,2024-02-23T01:51:35.760677775Z,2024-02-21T20:53:32.1452497Z,1257.3794,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_07) (121),1204620,121
