#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:24.726223964Z,138.45,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:26.726932367Z,141.55,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:28.726518147Z,144.24,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:30.726157721Z,146.01,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:32.726884741Z,148,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:34.731056218Z,148.31,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:36.726253872Z,148.54,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:38.726925947Z,148.87,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:40.726457478Z,148.92,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
,,0,2024-01-24T01:51:36.854527115Z,2024-02-23T01:51:36.854527115Z,2024-02-21T21:01:42.481997921Z,149.1,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SAMPLE_29) (190),1308411,190
