#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:23:44.758802395Z,168.2484,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:23:46.758646013Z,169.7516,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:23:48.758836902Z,170.1662,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:23:50.758703301Z,170.3237,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:23:52.759294953Z,168.1383,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:23:54.758912872Z,162.3695,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:23:56.758006252Z,162.1894,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:23:58.75879698Z,174.3008,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:24:00.758085897Z,159.99,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:24:02.758790731Z,162.6267,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
,,0,2024-01-24T01:58:13.436289372Z,2024-02-23T01:58:13.436289372Z,2024-02-21T22:24:04.758053206Z,163.8054,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_06) (1063),2592638,1063
