#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:13.713783562Z,40.95,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:15.7133938Z,71.35,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:17.713663797Z,100.17,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:19.713411113Z,128.21,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:21.713599079Z,158.49,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:23.714092691Z,184.01,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:25.713514554Z,211.28,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:27.713949587Z,236.74,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:29.713215197Z,260.26,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
,,0,2024-01-24T01:58:15.190550975Z,2024-02-23T01:58:15.190550975Z,2024-02-21T22:32:31.713759766Z,285.18,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SAMPLE_47) (1126),2709146,1126
