#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:30.583607773Z,20.61,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:32.583972206Z,27.95,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:34.584901217Z,29.34,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:36.583711821Z,29.86,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:38.583588438Z,39.5,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:40.584314483Z,40.61,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:42.584118418Z,40.76,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:44.583744677Z,40.7,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:46.58440559Z,41.14,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:48.584269617Z,41.48,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:50.584181546Z,42.35,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:52.583904728Z,42.27,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:54.584053004Z,42.33,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:56.583930172Z,42.18,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:52:58.58443077Z,42.43,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
,,0,2024-01-24T01:47:35.154015728Z,2024-02-23T01:47:35.154015728Z,2024-02-21T23:53:00.584192894Z,43.24,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SAMPLE_34) (2312),3772221,2312
