#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:31.485553025Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/.command.trace,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:32.473462586Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/tmp,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:42.279432046Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/SAMPLE_05.CollectMultipleMetrics.alignment_summary_metrics,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:42.573454456Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/SAMPLE_05.CollectMultipleMetrics.read_length_histogram.pdf,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:42.605175188Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/SAMPLE_05.CollectMultipleMetrics.base_distribution_by_cycle_metrics,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:42.858098263Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/SAMPLE_05.CollectMultipleMetrics.base_distribution_by_cycle.pdf,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:42.91605662Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/SAMPLE_05.CollectMultipleMetrics.insert_size_metrics,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:43.178053819Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/SAMPLE_05.CollectMultipleMetrics.insert_size_histogram.pdf,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:43.241071219Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/SAMPLE_05.CollectMultipleMetrics.quality_by_cycle_metrics,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:43.512830661Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/SAMPLE_05.CollectMultipleMetrics.quality_by_cycle.pdf,2387914,1135
,,0,2024-01-24T01:54:07.505089752Z,2024-02-23T01:54:07.505089752Z,2024-02-21T22:17:43.532024069Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SAMPLE_05) (1135),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/0c/033532a7e6d8835d937e14d5640189/SAMPLE_05.CollectMultipleMetrics.quality_distribution_metrics,2387914,1135
