#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:41.425789277Z,294.3123,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:43.425331958Z,1102.6955,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:45.426023472Z,1209.0699,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:47.42534895Z,828.5133,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:49.425960846Z,1209.456,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:51.425477883Z,759.3441,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:53.424994188Z,1200.1055,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:55.425975826Z,1063.2513,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:57.42539403Z,1163.5578,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:36:59.425933527Z,460.0401,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
,,0,2024-01-24T01:55:29.074189954Z,2024-02-23T01:55:29.074189954Z,2024-02-21T21:37:01.425571473Z,1114.1192,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_04) (320),1776852,320
