#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:02.202937336Z,215.14,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:04.202082575Z,433.28,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:06.20254105Z,443.95,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:08.202317006Z,1680.66,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:10.202735458Z,330.44,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:12.202609326Z,628.81,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:14.202905271Z,332.66,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:16.202765185Z,346.43,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:19.202254026Z,361.44,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:21.202846589Z,369.3,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:23.202313959Z,541.66,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
,,0,2024-01-24T01:55:29.403411611Z,2024-02-23T01:55:29.403411611Z,2024-02-21T22:01:24.900344773Z,541.66,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_05) (374),2133405,374
