#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.459641441Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/input_dataset.yaml,3491696,548
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.477839659Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/spades.log,3491696,548
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.481034782Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/params.txt,3491696,548
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.48532304Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/tmp,3491696,548
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.488031247Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/tmp/spades_mkxgjvh6,3491696,548
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.49090388Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/tmp/spades_mkxgjvh6,3491696,548
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.492940596Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/dataset.info,3491696,548
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.496070697Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/misc,3491696,548
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.877974409Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/configs,3491696,548
,,0,2024-01-24T01:55:38.362082401Z,2024-02-23T01:55:38.362082401Z,2024-02-21T23:27:56.886327529Z,CREATE,file_event,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_SPADES:SPADES (SAMPLE_32) (548),/home/jfechner/test-nfcore-workflows/profile_test_full/viralrecon/work/6f/639385a17324a2c9b0045d1f1765a5/configs/ionhammer,3491696,548
