#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:24.785958624Z,23.96,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:26.785495248Z,22.87,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:28.78613375Z,25.12,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:30.785818835Z,404.23,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:32.786123062Z,1088.27,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:34.785919406Z,1030.59,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:36.784989411Z,636.12,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:38.785592617Z,97.32,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:40.785177644Z,96.63,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
,,0,2024-01-24T02:01:15.765554904Z,2024-02-23T02:01:15.765554904Z,2024-02-21T23:02:42.785826278Z,96.38,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_28) (509),3195989,509
