#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:42:46.352598296Z,124.7346,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:42:48.352309223Z,104.3948,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:42:50.352731553Z,104.7187,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:42:52.352338827Z,145.1152,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:42:54.352887202Z,660.0551,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:42:56.352396283Z,936.3468,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:42:58.353069311Z,613.162,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:00.352270042Z,878.243,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:02.353202499Z,1201.1573,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:04.352673599Z,1199.7336,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:06.352341984Z,1195.1725,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:08.352777975Z,1188.919,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:10.352757332Z,1203.3381,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:12.35247084Z,256.3308,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:14.352974613Z,99.7845,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:16.352647679Z,99.7602,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:18.353245045Z,100.2224,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:20.352758387Z,110.3893,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:22.352273428Z,725.2265,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:24.352478872Z,732.3034,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:26.352164369Z,714.1844,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:28.35291285Z,777.7133,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:30.352556406Z,726.0935,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:32.352974227Z,741.8162,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:34.352426646Z,714.0093,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:36.352903299Z,726.1115,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:38.352322307Z,739.5246,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:40.352953405Z,763.4071,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:42.352610171Z,752.1097,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:44.353122615Z,353.7408,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:46.35271433Z,99.8464,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:48.352346185Z,99.686,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:50.352858979Z,1053.6648,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:52.352187675Z,100.0978,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:54.352941287Z,199.4458,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:56.352538581Z,211.5119,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:43:58.35288044Z,200.1312,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:00.35264914Z,200.5649,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:02.353196205Z,199.7678,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:04.353072829Z,200.1313,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:06.352792127Z,219.206,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:08.352396092Z,200.3802,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:10.353088752Z,199.9426,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:12.352812701Z,200.2452,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:14.352336123Z,200.5057,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:16.352858898Z,219.847,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:18.352314678Z,200.0686,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:20.352844513Z,199.271,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:22.352483279Z,200.5674,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:24.352962802Z,199.4577,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:26.352502785Z,219.9114,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:28.352806283Z,200.3193,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
,,0,2024-01-24T02:01:39.443555965Z,2024-02-23T02:01:39.443555965Z,2024-02-21T23:44:30.352563483Z,200.3022,docker_cpu_usage_pct,NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),NFCORE_VIRALRECON:ILLUMINA:ASSEMBLY_UNICYCLER:UNICYCLER (SAMPLE_36) (587),3658725,587
