#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#group,false,false,true,true,false,false,true,true,true,true,true
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,pid,tid
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:38.128054108Z,19.04,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:40.145011887Z,20.4,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:42.128141383Z,20.41,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:44.136044753Z,21.04,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:46.127649808Z,20.77,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:48.12759758Z,21.88,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:50.127023555Z,21.61,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:52.127871701Z,21.61,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:54.127312525Z,21.73,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:56.127516939Z,21.65,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:42:59.127950974Z,21.63,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:43:01.126958592Z,21.55,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
,,0,2024-01-24T01:48:59.109813969Z,2024-02-23T01:48:59.109813969Z,2024-02-21T20:43:03.127404588Z,21.62,docker_used_memory_mb,NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:UNTAR_KRAKEN2_DB (kraken2_human.tar.gz) (7),1042688,7
